Date;Time;CO(GT);NO2(GT);NOx(GT);PT08.S5(O3);T;RH;AH
06/01/2024;17.00.00;6.1;87.0;130.0;661.0;15.8;42.2;1.13
06/01/2024;18.00.00;6.4;101.0;151.0;500.0;15.9;54.5;1.2
06/01/2024;19.00.00;5.1;98.0;147.0;500.0;17.0;59.5;1.21
06/01/2024;20.00.00;5.6;85.0;127.0;500.0;13.7;54.1;0.55
06/01/2024;21.00.00;5.9;98.0;147.0;525.0;19.3;56.9;1.36
06/01/2024;22.00.00;10.8;161.0;242.0;628.0;18.2;59.7;0.96
06/01/2024;23.00.00;5.1;82.0;123.0;736.0;19.9;56.5;0.76
07/01/2024;00.00.00;5.1;78.0;117.0;764.0;19.6;58.6;0.74
07/01/2024;01.00.00;5.4;81.0;121.0;1142.0;19.4;58.3;0.98
07/01/2024;02.00.00;4.5;71.0;107.0;744.0;22.6;61.5;1.39
07/01/2024;03.00.00;4.6;70.0;105.0;950.0;23.9;62.0;0.88
07/01/2024;04.00.00;5.8;103.0;155.0;1130.0;21.6;59.7;1.25
07/01/2024;05.00.00;5.9;83.0;124.0;923.0;26.4;51.3;0.6
07/01/2024;06.00.00;15.0;170.0;255.0;1172.0;27.0;47.6;0.98
07/01/2024;07.00.00;6.4;77.0;116.0;1452.0;23.4;46.7;1.49
07/01/2024;08.00.00;15.0;192.0;288.0;1150.0;22.3;35.0;1.27
07/01/2024;09.00.00;6.8;92.0;139.0;1120.0;22.9;44.2;0.71
07/01/2024;10.00.00;7.0;124.0;187.0;798.0;22.5;43.4;1.0
07/01/2024;11.00.00;6.6;120.0;179.0;805.0;20.8;32.4;0.73
07/01/2024;12.00.00;7.9;103.0;155.0;740.0;19.9;33.0;0.91
07/01/2024;13.00.00;7.2;132.0;198.0;646.0;19.1;41.7;1.28
07/01/2024;14.00.00;6.3;118.0;177.0;805.0;14.8;36.4;1.27
07/01/2024;15.00.00;7.0;102.0;154.0;606.0;14.0;42.3;0.73
07/01/2024;16.00.00;6.0;78.0;116.0;500.0;10.2;42.0;1.42
07/01/2024;17.00.00;6.7;122.0;183.0;500.0;17.1;53.9;1.09
07/01/2024;18.00.00;6.6;81.0;122.0;500.0;15.0;52.5;0.88
07/01/2024;19.00.00;5.3;75.0;112.0;596.0;17.3;56.6;1.0
07/01/2024;20.00.00;6.0;98.0;147.0;706.0;13.4;60.3;1.11
07/01/2024;21.00.00;5.5;109.0;163.0;500.0;16.5;57.8;1.06
07/01/2024;22.00.00;5.5;96.0;144.0;500.0;17.9;60.7;0.99
07/01/2024;23.00.00;6.0;86.0;129.0;500.0;17.6;68.3;1.0
08/01/2024;00.00.00;4.9;86.0;129.0;763.0;16.9;65.6;0.68
08/01/2024;01.00.00;4.7;89.0;134.0;978.0;24.8;58.6;1.31
08/01/2024;02.00.00;4.7;90.0;134.0;1158.0;25.3;72.4;1.04
08/01/2024;03.00.00;4.9;87.0;131.0;1071.0;22.8;65.5;0.63
08/01/2024;04.00.00;5.5;89.0;133.0;1095.0;25.4;57.7;1.27
08/01/2024;05.00.00;5.9;90.0;136.0;1211.0;23.9;52.5;1.43
08/01/2024;06.00.00;6.1;87.0;131.0;1066.0;23.0;51.0;1.45
08/01/2024;07.00.00;6.7;96.0;144.0;1521.0;28.5;48.7;0.87
08/01/2024;08.00.00;6.5;86.0;128.0;889.0;21.0;32.3;0.64
08/01/2024;09.00.00;7.4;105.0;157.0;1112.0;23.0;50.0;1.02
08/01/2024;10.00.00;6.7;98.0;147.0;1324.0;22.7;33.1;0.61
08/01/2024;11.00.00;8.3;98.0;148.0;905.0;24.6;35.5;1.43
08/01/2024;12.00.00;7.3;112.0;168.0;770.0;21.8;35.2;0.68
08/01/2024;13.00.00;6.5;123.0;185.0;639.0;15.4;45.5;0.75
08/01/2024;14.00.00;6.3;117.0;176.0;571.0;17.5;36.6;0.91
08/01/2024;15.00.00;6.9;90.0;135.0;737.0;16.5;47.3;0.88
08/01/2024;16.00.00;6.4;93.0;139.0;500.0;15.2;44.5;1.29
08/01/2024;17.00.00;6.6;108.0;162.0;659.0;16.4;41.3;0.96
08/01/2024;18.00.00;6.2;85.0;128.0;500.0;12.2;50.7;0.67
08/01/2024;19.00.00;5.7;89.0;133.0;500.0;14.4;53.3;0.77
08/01/2024;20.00.00;5.1;93.0;140.0;500.0;16.6;52.1;1.01
08/01/2024;21.00.00;4.5;75.0;112.0;611.0;17.8;62.4;0.65
08/01/2024;22.00.00;4.9;83.0;125.0;500.0;17.8;63.1;1.11
08/01/2024;23.00.00;5.5;67.0;101.0;770.0;18.1;67.3;1.07
09/01/2024;00.00.00;5.1;74.0;111.0;1124.0;19.8;66.0;1.21
09/01/2024;01.00.00;4.4;84.0;126.0;685.0;22.8;61.2;1.44
09/01/2024;02.00.00;5.2;66.0;99.0;1030.0;22.6;66.8;1.41
09/01/2024;03.00.00;5.5;89.0;133.0;977.0;21.5;57.5;1.45
09/01/2024;04.00.00;5.1;87.0;131.0;1215.0;21.9;42.0;0.74
09/01/2024;05.00.00;5.8;97.0;145.0;1189.0;21.9;54.5;0.63
09/01/2024;06.00.00;6.0;97.0;146.0;1097.0;27.9;47.2;0.8
09/01/2024;07.00.00;5.7;113.0;169.0;1264.0;26.4;48.0;1.4
09/01/2024;08.00.00;6.7;104.0;156.0;1435.0;24.1;52.5;1.47
09/01/2024;09.00.00;7.0;101.0;152.0;1052.0;22.6;49.5;1.36
09/01/2024;10.00.00;7.4;109.0;164.0;1115.0;21.4;36.2;0.61
09/01/2024;11.00.00;7.5;115.0;172.0;697.0;23.5;31.4;1.45
09/01/2024;12.00.00;6.3;110.0;166.0;647.0;23.8;37.9;0.92
09/01/2024;13.00.00;6.5;110.0;165.0;772.0;17.5;33.7;0.51
09/01/2024;14.00.00;7.1;101.0;151.0;837.0;19.8;39.0;0.94
09/01/2024;15.00.00;7.0;99.0;148.0;574.0;16.5;36.1;0.55
09/01/2024;16.00.00;6.8;88.0;133.0;500.0;15.2;43.8;1.04
09/01/2024;17.00.00;8.2;116.0;175.0;500.0;18.2;42.1;0.84
09/01/2024;18.00.00;6.3;83.0;124.0;500.0;15.0;55.9;0.97
09/01/2024;19.00.00;6.3;84.0;126.0;510.0;15.8;50.9;1.11
09/01/2024;20.00.00;6.0;80.0;120.0;595.0;16.2;60.8;1.37
09/01/2024;21.00.00;5.6;93.0;140.0;500.0;13.2;54.3;1.16
09/01/2024;22.00.00;5.0;79.0;119.0;525.0;18.1;66.9;0.93
09/01/2024;23.00.00;5.4;93.0;139.0;739.0;17.6;59.7;1.32
10/01/2024;00.00.00;4.6;73.0;110.0;730.0;17.2;66.3;1.41
10/01/2024;01.00.00;4.9;83.0;125.0;893.0;20.3;69.6;0.62
10/01/2024;02.00.00;4.9;74.0;110.0;1336.0;21.4;62.0;1.03
10/01/2024;03.00.00;5.3;106.0;159.0;1043.0;25.6;55.5;0.78
10/01/2024;04.00.00;6.7;76.0;113.0;1089.0;22.2;60.0;0.55
10/01/2024;05.00.00;4.8;94.0;141.0;1083.0;23.2;49.7;1.17
10/01/2024;06.00.00;6.3;101.0;152.0;1319.0;25.5;48.0;1.36
10/01/2024;07.00.00;5.5;103.0;155.0;1157.0;22.2;47.4;0.66
10/01/2024;08.00.00;6.3;101.0;151.0;1043.0;23.0;49.3;1.31
10/01/2024;09.00.00;7.3;104.0;156.0;1294.0;20.2;39.5;1.35
10/01/2024;10.00.00;6.9;108.0;163.0;1227.0;24.3;37.1;1.41
10/01/2024;11.00.00;6.4;108.0;162.0;807.0;20.7;39.2;0.77
10/01/2024;12.00.00;6.6;120.0;179.0;501.0;20.0;35.3;1.4
10/01/2024;13.00.00;7.3;132.0;197.0;858.0;20.5;38.7;0.82
10/01/2024;14.00.00;6.5;102.0;154.0;500.0;16.1;42.4;1.05
10/01/2024;15.00.00;6.8;92.0;138.0;644.0;15.8;37.8;0.55
10/01/2024;16.00.00;6.5;102.0;152.0;500.0;13.6;26.1;0.54
10/01/2024;17.00.00;5.9;125.0;187.0;556.0;13.1;42.0;1.22
10/01/2024;18.00.00;7.1;87.0;130.0;500.0;13.2;56.0;0.94
10/01/2024;19.00.00;6.1;108.0;161.0;531.0;14.2;53.7;0.76
10/01/2024;20.00.00;4.5;104.0;156.0;500.0;14.9;55.8;0.69
10/01/2024;21.00.00;5.4;79.0;118.0;500.0;17.0;66.4;1.17
10/01/2024;22.00.00;4.8;88.0;132.0;535.0;15.7;62.5;0.5
10/01/2024;23.00.00;5.5;97.0;145.0;806.0;19.3;54.0;1.31
11/01/2024;00.00.00;4.6;76.0;114.0;817.0;21.0;57.5;0.58
11/01/2024;01.00.00;5.0;78.0;118.0;997.0;20.4;66.6;0.69
11/01/2024;02.00.00;5.4;76.0;114.0;1316.0;20.9;62.7;0.89
11/01/2024;03.00.00;5.7;74.0;111.0;833.0;23.7;67.9;0.98
11/01/2024;04.00.00;4.9;81.0;122.0;1405.0;23.9;53.8;0.85
11/01/2024;05.00.00;5.6;79.0;118.0;1203.0;25.3;52.3;0.82
11/01/2024;06.00.00;5.8;95.0;143.0;1056.0;28.1;45.6;1.46
11/01/2024;07.00.00;5.9;91.0;137.0;974.0;25.0;43.5;1.14
11/01/2024;08.00.00;7.4;105.0;157.0;1116.0;23.1;33.0;0.52
11/01/2024;09.00.00;6.9;90.0;135.0;1230.0;21.8;37.5;0.93
11/01/2024;10.00.00;6.2;111.0;167.0;980.0;20.8;36.8;1.38
11/01/2024;11.00.00;7.4;118.0;177.0;1145.0;18.4;34.8;0.8
11/01/2024;12.00.00;8.1;90.0;135.0;568.0;21.9;45.7;0.59
11/01/2024;13.00.00;7.5;113.0;170.0;695.0;14.2;44.7;1.26
11/01/2024;14.00.00;6.1;120.0;180.0;500.0;18.5;33.3;1.11
11/01/2024;15.00.00;6.5;94.0;140.0;575.0;14.7;29.2;1.07
11/01/2024;16.00.00;7.1;119.0;179.0;595.0;14.6;42.0;0.55
11/01/2024;17.00.00;5.9;103.0;155.0;500.0;13.4;48.0;0.64
11/01/2024;18.00.00;6.2;88.0;132.0;500.0;17.9;45.7;1.12
11/01/2024;19.00.00;6.1;91.0;136.0;500.0;15.2;49.8;0.71
11/01/2024;20.00.00;5.0;93.0;140.0;523.0;17.3;65.4;1.0
11/01/2024;21.00.00;5.3;85.0;128.0;582.0;19.1;59.3;1.04
11/01/2024;22.00.00;3.5;87.0;131.0;798.0;17.8;66.3;0.78
11/01/2024;23.00.00;4.5;71.0;107.0;525.0;16.3;59.8;1.45
12/01/2024;00.00.00;4.9;82.0;123.0;909.0;19.6;64.7;1.34
12/01/2024;01.00.00;11.0;133.0;199.0;1094.0;19.8;62.8;1.22
12/01/2024;02.00.00;6.0;81.0;121.0;715.0;21.5;59.6;0.58
12/01/2024;03.00.00;4.6;75.0;113.0;1134.0;23.3;66.4;0.61
12/01/2024;04.00.00;5.3;80.0;120.0;1066.0;24.1;50.6;0.99
12/01/2024;05.00.00;5.8;103.0;155.0;1173.0;25.7;55.4;0.66
12/01/2024;06.00.00;6.7;106.0;159.0;1256.0;26.1;48.2;1.48
12/01/2024;07.00.00;5.5;105.0;157.0;1108.0;24.6;48.2;0.66
12/01/2024;08.00.00;7.1;92.0;137.0;1038.0;25.1;40.8;0.99
12/01/2024;09.00.00;6.7;102.0;154.0;1088.0;22.4;43.7;0.86
12/01/2024;10.00.00;6.4;120.0;180.0;826.0;25.1;32.3;1.14
12/01/2024;11.00.00;7.2;111.0;166.0;730.0;20.2;41.3;0.63
12/01/2024;12.00.00;7.1;133.0;200.0;909.0;22.4;34.9;0.93
12/01/2024;13.00.00;6.7;113.0;170.0;513.0;15.8;28.9;0.77
12/01/2024;14.00.00;6.9;110.0;165.0;707.0;16.7;40.4;1.39
12/01/2024;15.00.00;6.5;103.0;154.0;591.0;15.8;38.4;0.54
12/01/2024;16.00.00;6.6;104.0;156.0;500.0;16.2;34.0;1.41
12/01/2024;17.00.00;6.6;97.0;146.0;500.0;16.9;47.8;1.33
12/01/2024;18.00.00;6.8;102.0;153.0;591.0;12.5;55.0;0.8
12/01/2024;19.00.00;5.1;101.0;151.0;500.0;13.0;60.3;1.29
12/01/2024;20.00.00;6.6;80.0;119.0;500.0;12.9;55.6;0.53
12/01/2024;21.00.00;4.3;71.0;107.0;591.0;19.1;61.3;1.47
12/01/2024;22.00.00;5.1;64.0;95.0;725.0;18.1;63.2;1.03
12/01/2024;23.00.00;5.3;86.0;128.0;656.0;16.5;71.9;0.8
13/01/2024;00.00.00;5.1;69.0;103.0;704.0;19.1;60.9;0.86
13/01/2024;01.00.00;4.7;59.0;88.0;1131.0;23.7;62.2;0.57
13/01/2024;02.00.00;5.0;86.0;129.0;1278.0;21.9;58.8;1.49
13/01/2024;03.00.00;5.0;109.0;164.0;1239.0;22.9;53.4;0.54
13/01/2024;04.00.00;5.2;87.0;131.0;1160.0;22.8;58.7;1.15
13/01/2024;05.00.00;6.2;100.0;149.0;1057.0;22.8;61.9;0.94
13/01/2024;06.00.00;15.0;192.0;287.0;1067.0;27.4;49.0;1.45
13/01/2024;07.00.00;5.9;98.0;147.0;1270.0;28.2;41.7;0.75
13/01/2024;08.00.00;6.9;112.0;168.0;1213.0;22.4;43.4;1.03
13/01/2024;09.00.00;6.9;103.0;154.0;1307.0;26.3;42.3;0.98
13/01/2024;10.00.00;7.3;111.0;166.0;1104.0;21.5;36.2;1.2
13/01/2024;11.00.00;7.3;113.0;169.0;663.0;22.4;42.5;0.57
13/01/2024;12.00.00;15.0;207.0;310.0;968.0;22.8;30.9;0.69
13/01/2024;13.00.00;6.7;119.0;179.0;537.0;18.4;34.1;0.71
13/01/2024;14.00.00;7.2;106.0;159.0;539.0;16.8;38.5;1.24
13/01/2024;15.00.00;7.0;98.0;147.0;557.0;18.1;41.4;0.69
13/01/2024;16.00.00;6.5;108.0;162.0;773.0;13.4;42.7;1.07
13/01/2024;17.00.00;6.3;90.0;135.0;911.0;17.5;39.7;0.72
13/01/2024;18.00.00;6.6;95.0;143.0;500.0;15.3;61.7;1.36
13/01/2024;19.00.00;5.4;91.0;137.0;500.0;14.0;52.7;1.44
13/01/2024;20.00.00;5.8;98.0;148.0;539.0;14.5;58.1;1.02
13/01/2024;21.00.00;5.2;89.0;134.0;659.0;13.7;63.7;0.85
13/01/2024;22.00.00;5.0;82.0;123.0;549.0;16.4;59.8;0.73
13/01/2024;23.00.00;5.6;89.0;133.0;984.0;18.2;64.8;0.55
14/01/2024;00.00.00;5.4;94.0;141.0;837.0;17.9;61.6;0.77
14/01/2024;01.00.00;5.4;86.0;129.0;983.0;21.2;66.6;1.15
14/01/2024;02.00.00;5.8;82.0;123.0;1107.0;23.4;61.6;1.03
14/01/2024;03.00.00;5.3;71.0;107.0;1150.0;23.1;62.0;1.44
14/01/2024;04.00.00;5.8;77.0;115.0;1281.0;25.7;52.3;0.9
14/01/2024;05.00.00;14.0;176.0;264.0;1088.0;23.2;49.7;1.19
14/01/2024;06.00.00;6.2;89.0;133.0;1111.0;27.0;43.2;0.99
14/01/2024;07.00.00;6.2;97.0;146.0;1010.0;25.1;42.6;1.01
14/01/2024;08.00.00;6.5;103.0;155.0;1217.0;27.4;29.6;0.77
14/01/2024;09.00.00;7.0;111.0;166.0;1207.0;28.4;37.9;0.95
14/01/2024;10.00.00;6.5;107.0;161.0;1073.0;21.6;34.3;0.97
14/01/2024;11.00.00;8.0;114.0;172.0;1171.0;20.4;36.3;1.21
14/01/2024;12.00.00;6.5;111.0;166.0;799.0;19.5;35.2;1.44
14/01/2024;13.00.00;6.4;90.0;135.0;803.0;19.9;41.8;0.83
14/01/2024;14.00.00;7.4;99.0;148.0;500.0;20.2;50.0;0.54
14/01/2024;15.00.00;7.1;104.0;156.0;500.0;15.2;45.1;1.0
14/01/2024;16.00.00;6.8;90.0;136.0;565.0;16.4;40.2;1.04
14/01/2024;17.00.00;15.0;210.0;315.0;549.0;14.9;43.7;0.67
14/01/2024;18.00.00;6.0;110.0;165.0;500.0;16.2;54.3;1.26
14/01/2024;19.00.00;5.3;103.0;155.0;500.0;18.2;45.5;1.48
14/01/2024;20.00.00;5.5;85.0;128.0;500.0;15.2;55.9;1.45
14/01/2024;21.00.00;5.0;99.0;149.0;500.0;13.1;59.4;0.7
14/01/2024;22.00.00;5.6;83.0;125.0;742.0;19.0;65.9;1.38
14/01/2024;23.00.00;5.0;77.0;116.0;789.0;17.0;67.6;1.2
